"Title","MSAuthor","Freshness","LastReviewed","PageViews","GitHubOpenIssueCount","LiveUrl"
"Route network traffic - Azure CLI","mbender","0-90 days","2022-04-20","143","0","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-create-route-table-cli"
"Connect virtual networks with VNet peering - tutorial - Azure portal","mbender","0-90 days","2022-04-14","4,727","0","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-connect-virtual-networks-portal"
"Quickstart: Create a virtual network - Azure portal - Azure Virtual Network","mbender","0-90 days","2022-04-13","6,985","1","https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-portal"
"Create a virtual network - quickstart - Azure PowerShell - Azure Virtual Network","mbender","0-90 days","2022-04-13","1,647","0","https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-powershell"
"Create a virtual network - quickstart - Azure CLI - Azure Virtual Network","mbender","0-90 days","2022-04-13","1,201","0","https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-cli"
"Azure Policy Regulatory Compliance controls for Azure Virtual Network","mbender","0-90 days","2022-03-10","187","","https://docs.microsoft.com/en-us/azure/virtual-network/security-controls-policy"
"Azure Policy Regulatory Compliance controls for Azure networking services","kumud","0-90 days","2022-03-10","13","","https://docs.microsoft.com/en-us/azure/networking/security-controls-policy"
"Azure Resource Graph sample queries for Azure networking","kumud","0-90 days","2022-03-08","289","","https://docs.microsoft.com/en-us/azure/networking/fundamentals/resource-graph-samples"
"Azure CLI script sample - Configure IPv6 frontend - Standard Load Balancer","mbender","0-90 days","2022-02-03","9","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-cli-sample-ipv6-dual-stack-standard-load-balancer"
"Route traffic via network virtual appliance - Azure CLI script sample","mbender","0-90 days","2022-02-03","78","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-cli-sample-route-traffic-through-nva"
"Peer two virtual networks - Azure CLI script sample","mbender","0-90 days","2022-02-03","47","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-cli-sample-peer-two-virtual-networks"
"Azure networking services overview","kumud","0-90 days","2022-02-03","4,733","","https://docs.microsoft.com/en-us/azure/networking/fundamentals/networking-overview"
"Filter VM network traffic - Azure CLI script sample","mbender","0-90 days","2022-02-03","30","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-cli-sample-filter-network-traffic"
"Azure CLI script sample - Configure IPv6 frontend","mbender","0-90 days","2022-02-03","22","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-cli-sample-ipv6-dual-stack"
"Create a VNet for multi-tier applications - Azure CLI script sample","mbender","0-90 days","2022-02-03","147","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-cli-sample-multi-tier-application"
"Azure service tags overview","mbender","91-365 days","2021-10-11","17,031","12","https://docs.microsoft.com/en-us/azure/virtual-network/service-tags-overview"
"Azure networking documentation","kumud","91-365 days","2021-09-08","3,606","","https://docs.microsoft.com/en-us/azure/networking/"
"Restrict access to PaaS resources - tutorial - Azure portal","mbender","91-365 days","2021-07-16","2,104","2","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-restrict-network-access-to-resources"
"Quickstart: Create a virtual network using a Resource Manager template - Azure Virtual Network","mbender","91-365 days","2021-06-09","1,175","1","https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-template"
"Azure network round-trip latency statistics","kumud","91-365 days","2021-06-08","3,937","10","https://docs.microsoft.com/en-us/azure/networking/azure-network-latency"
"Azure virtual network traffic routing","mbender","> 365 days","2021-04-14","22,563","6","https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-udr-overview"
"Azure Networking architecture documentation","kumud","> 365 days","2021-03-30","594","","https://docs.microsoft.com/en-us/azure/networking/fundamentals/architecture-guides"
"Route network traffic - tutorial - Azure portal","mbender","> 365 days","2021-03-16","5,040","2","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-create-route-table-portal"
"Filter network traffic - tutorial - Azure portal","mbender","> 365 days","2021-03-06","3,771","0","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-filter-network-traffic"
"Azure Virtual Network Documentation - Tutorials, quickstarts, API references","mbender","> 365 days","2021-01-28","4,253","","https://docs.microsoft.com/en-us/azure/virtual-network/"
"What is subnet delegation in Azure virtual network?","mbender","> 365 days","2020-12-15","2,643","0","https://docs.microsoft.com/en-us/azure/virtual-network/subnet-delegation-overview"
"Azure Virtual Network - Concepts and best practices","mbender","> 365 days","2020-12-03","4,136","","https://docs.microsoft.com/en-us/azure/virtual-network/concepts-and-best-practices"
"Azure Virtual Network","mbender","> 365 days","2020-12-03","17,687","1","https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-overview"
"Virtual network integration of Azure services for network isolation","mbender","> 365 days","2020-12-01","2,032","","https://docs.microsoft.com/en-us/azure/virtual-network/vnet-integration-for-azure-services"
"Azure network security groups overview","mbender","> 365 days","2020-09-08","27,413","3","https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview"
"Network security group - how it works","mbender","> 365 days","2020-08-24","7,968","2","https://docs.microsoft.com/en-us/azure/virtual-network/network-security-group-how-it-works"
"Azure Virtual Network FAQ","mbender","> 365 days","2020-06-26","11,189","2","https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-faq"
"Create an Azure virtual network peering - different deployment models -different subscriptions","mbender","> 365 days","2020-06-25","794","1","https://docs.microsoft.com/en-us/azure/virtual-network/create-peering-different-deployment-models-subscriptions"
"Plan Azure virtual networks","mbender","> 365 days","2020-04-08","4,260","0","https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-vnet-plan-design-arm"
"Virtual network for Azure services","mbender","> 365 days","2020-04-06","4,037","4","https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-for-azure-services"
"Deploy IPv6 dual stack application - Standard Load Balancer - PowerShell","kumud","> 365 days","2020-04-01","144","","https://docs.microsoft.com/en-us/azure/load-balancer/virtual-network-ipv4-ipv6-dual-stack-standard-load-balancer-powershell"
"Deploy IPv6 dual stack application - Standard Load Balancer - CLI","kumud","> 365 days","2020-03-31","71","","https://docs.microsoft.com/en-us/azure/load-balancer/virtual-network-ipv4-ipv6-dual-stack-standard-load-balancer-cli"
"Deploy an IPv6 dual stack application in Azure virtual network - Resource Manger template","kumud","> 365 days","2020-03-31","49","","https://docs.microsoft.com/en-us/azure/load-balancer/ipv6-configure-standard-load-balancer-template-json"
"Add IPv6 to an IPv4 application in Azure virtual network - Azure CLI","kumud","> 365 days","2020-03-31","295","","https://docs.microsoft.com/en-us/azure/load-balancer/ipv6-add-to-existing-vnet-cli"
"Add an IPv4 application to IPv6 in Azure Virtual Network - PowerShell","kumud","> 365 days","2020-03-31","141","","https://docs.microsoft.com/en-us/azure/load-balancer/ipv6-add-to-existing-vnet-powershell"
"Deploy an IPv6 dual stack application with Basic Load Balancer in Azure virtual network - Resource Manger template","kumud","> 365 days","2020-03-31","1","","https://docs.microsoft.com/en-us/azure/load-balancer/basic/ipv6-configure-template-json"
"Add, change, or delete an Azure virtual network subnet","mbender","> 365 days","2020-03-20","4,724","2","https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-manage-subnet"
"Create, change, or delete an Azure route table","mbender","> 365 days","2020-03-19","4,400","0","https://docs.microsoft.com/en-us/azure/virtual-network/manage-route-table"
"Create, change, or delete an Azure network security group","mbender","> 365 days","2020-03-13","6,294","0","https://docs.microsoft.com/en-us/azure/virtual-network/manage-network-security-group"
"Add network interfaces to or remove from Azure VMs","mbender","> 365 days","2020-03-13","4,160","0","https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-network-interface-vm"
"Azure application security groups overview","mbender","> 365 days","2020-02-27","6,338","0","https://docs.microsoft.com/en-us/azure/virtual-network/application-security-groups"
"Create, change, or delete an Azure network interface","mbender","> 365 days","2020-01-22","6,305","0","https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-network-interface"
"Microsoft global network - Azure","kumud","> 365 days","2020-01-05","1,407","0","https://docs.microsoft.com/en-us/azure/networking/microsoft-global-network"
"Azure Virtual Network peering","mbender","> 365 days","2019-11-15","17,583","0","https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-peering-overview"
"Add or remove a subnet delegation in an Azure virtual network","mbender","> 365 days","2019-11-06","1,772","0","https://docs.microsoft.com/en-us/azure/virtual-network/manage-subnet-delegation"
"Deploy an IPv6 dual stack application using Standard Internal Load Balancer in Azure - PowerShell","kumud","> 365 days","2019-10-14","35","","https://docs.microsoft.com/en-us/azure/load-balancer/ipv6-dual-stack-standard-internal-load-balancer-powershell"
"Azure PowerShell script sample - Configure IPv6 frontend with Standard Load Balancer(preview)","mbender","> 365 days","2019-07-15","3","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-powershell-sample-ipv6-dual-stack-standard-load-balancer"
"Azure PowerShell samples for virtual network","mbender","> 365 days","2019-07-15","277","0","https://docs.microsoft.com/en-us/azure/virtual-network/powershell-samples"
"Azure PowerShell script sample - Configure IPv6 endpoints","mbender","> 365 days","2019-07-15","22","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-powershell-sample-ipv6-dual-stack"
"Azure CLI samples for virtual network","mbender","> 365 days","2019-07-15","136","","https://docs.microsoft.com/en-us/azure/virtual-network/cli-samples"
"Azure Resource Manager template samples for virtual network","mbender","> 365 days","2019-04-22","356","","https://docs.microsoft.com/en-us/azure/virtual-network/template-samples"
"Create a VNet peering - different subscriptions","mbender","> 365 days","2019-04-09","4,259","3","https://docs.microsoft.com/en-us/azure/virtual-network/create-peering-different-subscriptions"
"Create, change, or delete an Azure virtual network","mbender","> 365 days","2019-01-10","4,636","0","https://docs.microsoft.com/en-us/azure/virtual-network/manage-virtual-network"
"Create a VNet for multi-tier applications - Azure PowerShell script sample","mbender","> 365 days","2018-12-13","105","0","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-powershell-sample-multi-tier-application"
"Create an Azure virtual network peering - different deployment models - same subscription","mbender","> 365 days","2018-11-15","335","","https://docs.microsoft.com/en-us/azure/virtual-network/create-peering-different-deployment-models"
"Diagnostic resource logging for a network security group","mbender","> 365 days","2018-06-04","1,180","0","https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-nsg-manage-log"
"Diagnose an Azure virtual machine routing problem","mbender","> 365 days","2018-05-30","2,005","0","https://docs.microsoft.com/en-us/azure/virtual-network/diagnose-network-routing-problem"
"Diagnose a virtual machine network traffic filter problem","mbender","> 365 days","2018-05-29","1,276","0","https://docs.microsoft.com/en-us/azure/virtual-network/diagnose-network-traffic-filter-problem"
"Filter network traffic - Azure PowerShell","mbender","> 365 days","2018-03-30","75","0","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-filter-network-traffic-powershell"
"Filter network traffic - Azure CLI","mbender","> 365 days","2018-03-30","70","","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-filter-network-traffic-cli"
"Peer two virtual networks - Azure PowerShell script sample","mbender","> 365 days","2018-03-20","74","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-powershell-sample-peer-two-virtual-networks"
"Route traffic via NVA - Azure PowerShell script sample","mbender","> 365 days","2018-03-20","15","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-powershell-sample-route-traffic-through-nva"
"Filter VM network traffic - Azure PowerShell script sample","mbender","> 365 days","2018-03-20","12","","https://docs.microsoft.com/en-us/azure/virtual-network/scripts/virtual-network-powershell-sample-filter-network-traffic"
"Restrict network access to PaaS resources - Azure PowerShell","mbender","> 365 days","2018-03-14","69","","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-restrict-network-access-to-resources-powershell"
"Restrict network access to PaaS resources - Azure CLI","mbender","> 365 days","2018-03-14","53","","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-restrict-network-access-to-resources-cli"
"Connect virtual networks with VNet peering - Azure PowerShell","mbender","> 365 days","2018-03-13","401","0","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-connect-virtual-networks-powershell"
"Route network traffic Azure PowerShell","mbender","> 365 days","2018-03-13","207","0","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-create-route-table-powershell"
"Connect virtual networks with VNet peering - Azure CLI","mbender","> 365 days","2018-03-13","191","0","https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-connect-virtual-networks-cli"
"Azure CLI script sample - Create a network for multi-tier applications","kumud","> 365 days","2017-07-07","33","","https://docs.microsoft.com/en-us/azure/networking/scripts/virtual-network-cli-sample-multi-tier-application"
"Azure CLI script sample - Filter VM network traffic","kumud","> 365 days","2017-07-07","2","","https://docs.microsoft.com/en-us/azure/networking/scripts/virtual-network-filter-network-traffic"
"Azure CLI Script Sample - Peer two virtual networks","kumud","> 365 days","2017-07-07","17","0","https://docs.microsoft.com/en-us/azure/networking/scripts/virtual-network-cli-sample-peer-two-virtual-networks"
"Azure CLI script sample - Route traffic through a network virtual appliance","kumud","> 365 days","2017-07-07","14","","https://docs.microsoft.com/en-us/azure/networking/scripts/virtual-network-cli-sample-route-traffic-through-nva"
"Azure PowerShell script sample - Create a network for multi-tier applications","kumud","> 365 days","2017-05-16","50","","https://docs.microsoft.com/en-us/azure/networking/scripts/virtual-network-powershell-sample-multi-tier-application"
"Azure PowerShell script sample - Route traffic through a network virtual appliance","kumud","> 365 days","2017-05-16","5","","https://docs.microsoft.com/en-us/azure/networking/scripts/virtual-network-powershell-sample-route-traffic-through-nva"
"Azure PowerShell Script Sample - Peer two virtual networks","kumud","> 365 days","2017-05-16","3","","https://docs.microsoft.com/en-us/azure/networking/scripts/virtual-network-powershell-sample-peer-two-virtual-networks"
"Azure PowerShell script sample - Filter VM network traffic","kumud","> 365 days","2017-05-16","2","","https://docs.microsoft.com/en-us/azure/networking/scripts/virtual-network-powershell-filter-network-traffic"
"Azure CLI Samples - Networking","kumud","> 365 days","2017-04-25","9","","https://docs.microsoft.com/en-us/azure/networking/cli-samples"
"Hybrid connection with 2-tier application","mbender","> 365 days","2016-05-05","762","","https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-scenario-udr-gw-nva"
